review,sentiment
"This product is amazing! I love it.",positive
"Terrible experience, would not recommend.",negative
"Decent quality, but could be better.",neutral
"Excellent value for money.",positive
"Not worth the price.",negative
"Very satisfied with the purchase.",positive
"Disappointed with the performance.",negative
"Good, but not great.",neutral
"Exceeded my expectations!",positive
"Would not buy again.",negative
"Average product, nothing special.",neutral
"Okay for the price, but I've seen better.",neutral
"Works as expected, no complaints.",neutral
"Some features are good, others not so much.",neutral
"Mixed feelings about this product.",neutral
"Neither good nor bad, just okay.",neutral
"Quality varies, depends on the batch.",neutral
"Serviceable, but not outstanding.",neutral
"Could be improved in several areas.",neutral
"Meets basic needs, but lacks extras.",neutral
